# mapping_set_id: https://w3id.org/lmodel/iso22989/mappings/iso22989_to_nist_ai_100_1
# mapping_set_version: 0.1.0
# mapping_set_title: ISO/IEC 22989:2022 to NIST AI 100-1 (AI RMF 1.0) Schema Mappings
# mapping_set_description: Schema-level mappings between the ISO/IEC 22989:2022 (Artificial intelligence concepts and terminology) and NIST AI 100-1 (AI Risk Management Framework 1.0) LinkML schemas. Both standards share an AI-system-centred conceptual model; mappings align lifecycle stages, actor roles, risk and harm constructs, and bias categories.
# license: https://creativecommons.org/licenses/by/4.0/
# subject_source: https://w3id.org/lmodel/iso22989
# object_source: https://w3id.org/lmodel/nist-ai-100-1
# mapping_date: 2026-06-01
# curie_map:
#   iso22989: https://w3id.org/lmodel/iso22989/
#   nist_ai_100_1: https://w3id.org/lmodel/nist-ai-100-1/
#   owl: http://www.w3.org/2002/07/owl#
#   semapv: https://w3id.org/semapv/vocab/
#   skos: http://www.w3.org/2004/02/skos/core#
subject_id	subject_label	subject_category	predicate_id	predicate_label	object_id	object_label	object_category	mapping_justification	comment
iso22989:AISystem	AISystem	owl:Class	skos:exactMatch	exact match	nist_ai_100_1:AiSystem	AiSystem	owl:Class	semapv:LLMBasedMatching	NIST AI RMF reuses the ISO/IEC 22989 definition of an AI system.
iso22989:AILifecycleProcess	AILifecycleProcess	owl:Class	skos:closeMatch	close match	nist_ai_100_1:AiLifecycleStage	AiLifecycleStage	owl:Class	semapv:LLMBasedMatching	ISO/IEC 22989 models lifecycle activities as processes; NIST models them as stages. Both partition the same lifecycle.
iso22989:AILifecycleStage	AILifecycleStage	skos:ConceptScheme	skos:closeMatch	close match	nist_ai_100_1:AiLifecycleStageEnum	AiLifecycleStageEnum	skos:ConceptScheme	semapv:LLMBasedMatching	Both enumerations partition the AI lifecycle into stages, with different granularity.
iso22989:OECDLifecycleStage	OECDLifecycleStage	skos:ConceptScheme	skos:exactMatch	exact match	nist_ai_100_1:AiLifecycleStageEnum	AiLifecycleStageEnum	skos:ConceptScheme	semapv:LLMBasedMatching	NIST AI RMF lifecycle stages are derived from the OECD lifecycle, which ISO/IEC 22989 also enumerates in Annex A.
iso22989:OECDLifecycleStage#plan_and_design	plan_and_design	skos:Concept	skos:exactMatch	exact match	nist_ai_100_1:AiLifecycleStageEnum#PLAN_AND_DESIGN	PLAN_AND_DESIGN	skos:Concept	semapv:LLMBasedMatching	Both labels reference the OECD plan-and-design stage.
iso22989:OECDLifecycleStage#collect_and_process_data	collect_and_process_data	skos:Concept	skos:exactMatch	exact match	nist_ai_100_1:AiLifecycleStageEnum#COLLECT_AND_PROCESS_DATA	COLLECT_AND_PROCESS_DATA	skos:Concept	semapv:LLMBasedMatching	Both labels reference the OECD collect-and-process-data stage.
iso22989:OECDLifecycleStage#build_and_use_model	build_and_use_model	skos:Concept	skos:exactMatch	exact match	nist_ai_100_1:AiLifecycleStageEnum#BUILD_AND_USE_MODEL	BUILD_AND_USE_MODEL	skos:Concept	semapv:LLMBasedMatching	Both labels reference the OECD build-and-use-model stage.
iso22989:OECDLifecycleStage#verify_and_validate	verify_and_validate	skos:Concept	skos:exactMatch	exact match	nist_ai_100_1:AiLifecycleStageEnum#VERIFY_AND_VALIDATE	VERIFY_AND_VALIDATE	skos:Concept	semapv:LLMBasedMatching	Both labels reference the OECD verify-and-validate stage.
iso22989:OECDLifecycleStage#deploy	deploy	skos:Concept	skos:closeMatch	close match	nist_ai_100_1:AiLifecycleStageEnum#DEPLOY_AND_USE	DEPLOY_AND_USE	skos:Concept	semapv:LLMBasedMatching	OECD deploy stage; NIST groups deploy and use.
iso22989:OECDLifecycleStage#operate_and_monitor	operate_and_monitor	skos:Concept	skos:exactMatch	exact match	nist_ai_100_1:AiLifecycleStageEnum#OPERATE_AND_MONITOR	OPERATE_AND_MONITOR	skos:Concept	semapv:LLMBasedMatching	Both labels reference the OECD operate-and-monitor stage.
